map{ id = "caves/cave", description = "Cave" }
map{ id = "caves/yarna_desert/cave_1", description = "Cave 1 - Heart Piece Cave" }
map{ id = "caves/yarna_desert/cave_2", description = "Cave 2 - Yarna Cave" }
map{ id = "dungeons/1/1f", description = "Dungeon 1 1F" }
map{ id = "dungeons/1/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/1/sideview_2", description = "Sideview 2" }
map{ id = "dungeons/10/1f", description = "Dungeon 10 1F" }
map{ id = "dungeons/10/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/11/1f", description = "Dungeon 11 1F" }
map{ id = "dungeons/11/b1", description = "Dungeon 11 B1" }
map{ id = "dungeons/11/b2", description = "Dungeon 11 B2" }
map{ id = "dungeons/2/1f", description = "Dungeon 2 1F" }
map{ id = "dungeons/2/b1", description = "Dungeon 2 B1" }
map{ id = "dungeons/2/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/2/sideview_2", description = "Sideview 2" }
map{ id = "dungeons/2/sideview_3", description = "Sideview 3" }
map{ id = "dungeons/3/1f", description = "Dungeon 3 1F" }
map{ id = "dungeons/3/b1", description = "Dungeon 3 B1" }
map{ id = "dungeons/4/1f", description = "Dungeon 4 1F" }
map{ id = "dungeons/5/1f", description = "Dungeon 5 1F" }
map{ id = "dungeons/6/1f", description = "Dungeon 6 1F" }
map{ id = "dungeons/7/1f", description = "Dungeon 7 1F" }
map{ id = "dungeons/7/2f", description = "Dungeon 7 2F" }
map{ id = "dungeons/7/3f", description = "Dungeon 7 3F" }
map{ id = "dungeons/7/3f_bis", description = "Dungeon 7 3F Bis" }
map{ id = "dungeons/8/1f", description = "Dungeon 8 1F" }
map{ id = "dungeons/9/1f", description = "Dungeon 9 1F" }
map{ id = "examples/beach_store", description = "Beach Store" }
map{ id = "examples/c1_flood_only", description = "Outside C1 (only flooded parts)" }
map{ id = "examples/cave_store", description = "Cave Store" }
map{ id = "examples/dungeon_store", description = "Dungeon store" }
map{ id = "examples/hyrule_castle", description = "ALTTP Hyrule Castle outside" }
map{ id = "examples/island", description = "island" }
map{ id = "examples/kakariko_village", description = "ALTTP Kakariko Village" }
map{ id = "examples/others", description = "Others" }
map{ id = "examples/outside_store", description = "Outside Store" }
map{ id = "examples/sideview_cave", description = "Sideview cave example" }
map{ id = "examples/test_map", description = "Test map" }
map{ id = "houses/east_prairie/telephone_booth_5", description = "Telephone booth 5" }
map{ id = "houses/egg_of_the_dream_fish/photographer_house", description = "Photographer house" }
map{ id = "houses/graveyard/drugstore", description = "Drugstore" }
map{ id = "houses/graveyard/witch_house", description = "Witch house" }
map{ id = "houses/kanalet_castle/kanalet_castle_1f", description = "Kanalet castle 1F" }
map{ id = "houses/kanalet_castle/kanalet_castle_2f", description = "Kanalet castle 2F" }
map{ id = "houses/kanalet_castle/telephone_booth_6", description = "Telephone booth 6" }
map{ id = "houses/mabe_village/dream_shine_lower_level", description = "Dream shine lower level" }
map{ id = "houses/mabe_village/dream_shine_upper_level", description = "Dream shine upper level" }
map{ id = "houses/mabe_village/grand_pa_house", description = "Grandpa house" }
map{ id = "houses/mabe_village/library", description = "Library" }
map{ id = "houses/mabe_village/marine_house", description = "Marine house" }
map{ id = "houses/mabe_village/meow_meow_house", description = "Meow meow house" }
map{ id = "houses/mabe_village/quadruplets_house", description = "Quadruplets house" }
map{ id = "houses/mabe_village/shop_1", description = "Shop 1" }
map{ id = "houses/mabe_village/shop_2", description = "Shop 2" }
map{ id = "houses/mabe_village/telephone_booth_1", description = "Telephone booth 1" }
map{ id = "houses/mambos_cave/cuccos_house", description = "Cucco's house" }
map{ id = "houses/martha_bay/telephone_booth_7", description = "Telephone booth 7" }
map{ id = "houses/martha_bay/telephone_booth_8", description = "Telephone booth 8" }
map{ id = "houses/mask_shrine/south_shrine", description = "South shrine" }
map{ id = "houses/prairie/telephone_booth_4", description = "Telephone booth 4" }
map{ id = "houses/rafting/rafting_house", description = "Rafting's house" }
map{ id = "houses/south_mabe_village/sales_house_o_bananas", description = "Sale's House O' Bananas" }
map{ id = "houses/south_prairie/ghost_house", description = "Ghost house" }
map{ id = "houses/south_prairie/richard_villa", description = "Richard villa" }
map{ id = "houses/west_mt_tamaranch/mr_write_house", description = "Mr. Write house" }
map{ id = "houses/west_mt_tamaranch/telephone_booth_2", description = "Telephone booth 2" }
map{ id = "houses/west_mt_tamaranch/telephone_booth_3", description = "Telephone booth 3" }
map{ id = "houses/yarna_desert/bear_house", description = "Bear's house" }
map{ id = "houses/yarna_desert/christine_house", description = "Christine's house" }
map{ id = "houses/yarna_desert/empty_house", description = "Empty house" }
map{ id = "houses/yarna_desert/painter_house", description = "Painter's house" }
map{ id = "houses/yarna_desert/rabbits_house", description = "Rabbits house" }
map{ id = "movies/introduction", description = "Introduction" }
map{ id = "out/a1_west_mt_tamaranch", description = "A1 - West Mt Tamaranch" }
map{ id = "out/a2_forest", description = "A2 - Forest" }
map{ id = "out/a3_mabe_village", description = "A3 - Mabe village" }
map{ id = "out/a4_south_mabe_village", description = "A4 - South village" }
map{ id = "out/b1_egg_of_the_dream_fish", description = "B1 - Egg of the dream fish" }
map{ id = "out/b2_graveyard", description = "B2 - Graveyard" }
map{ id = "out/b3_prairie", description = "B3 - Prairie" }
map{ id = "out/b4_south_prairie", description = "B4 - South prairie" }
map{ id = "out/c1_mambos_cave", description = "C1 - Mambo's cave" }
map{ id = "out/c2_kanalet_castle", description = "C2 - Kanalet castle" }
map{ id = "out/c3_east_prairie", description = "C3 - East prairie" }
map{ id = "out/c4_martha_bay", description = "C4 - Baie de Martha" }
map{ id = "out/d1_east_mt_tamaranch", description = "D1 - East Mt Tamaranch" }
map{ id = "out/d2_rafting", description = "D2 - Rafting" }
map{ id = "out/d3_mask_shrine", description = "D3 - Mask shrine" }
map{ id = "out/d4_yarna_desert", description = "D4 - Yarna desert" }
map{ id = "sideviews/kanalet_castle/sideview_1", description = "Sideview 1" }
map{ id = "sideviews/mabe_village/sideview_1", description = "Sideview 1" }
map{ id = "sideviews/martha_bay/sideview_1", description = "Sideview 1" }
map{ id = "sideviews/martha_bay/sideview_2", description = "Sideview 2" }

tileset{ id = "dungeons/blue", description = "Blue" }
tileset{ id = "dungeons/brown", description = "Brown" }
tileset{ id = "dungeons/dark_brown", description = "Dark brown" }
tileset{ id = "dungeons/dark_turquoise", description = "Dark turquoise" }
tileset{ id = "dungeons/dark_yellow", description = "Dark yellow" }
tileset{ id = "dungeons/gray", description = "Gray" }
tileset{ id = "dungeons/gray_blue", description = "Dark blue" }
tileset{ id = "dungeons/gray_brown", description = "Gray brown" }
tileset{ id = "dungeons/gray_pink", description = "Gray pink" }
tileset{ id = "dungeons/gray_yellow", description = "Gray yellow" }
tileset{ id = "dungeons/green", description = "Green" }
tileset{ id = "dungeons/light_blue", description = "Light blue" }
tileset{ id = "dungeons/light_brown", description = "Light brown" }
tileset{ id = "dungeons/light_green", description = "Light green" }
tileset{ id = "dungeons/light_yellow", description = "Light yellow" }
tileset{ id = "dungeons/pink", description = "Pink" }
tileset{ id = "dungeons/purple", description = "Purple" }
tileset{ id = "dungeons/purple_blue", description = "Purple blue" }
tileset{ id = "dungeons/yellow", description = "Yellow" }
tileset{ id = "movies/beach", description = "Beach" }
tileset{ id = "out/light_world_legacy", description = "Light world legacy" }
tileset{ id = "out/outside", description = "Outside" }
tileset{ id = "sideview/sideview", description = "Side view tileset" }

sprite{ id = "enemies/arm_mimic", description = "Arm mimic" }
sprite{ id = "enemies/arrow", description = "Arrow" }
sprite{ id = "enemies/beamos", description = "Beamos" }
sprite{ id = "enemies/boss/genie", description = "Genie" }
sprite{ id = "enemies/boss/genie/genie_bottle", description = "Genie bottle" }
sprite{ id = "enemies/boss/genie_enemies/genie_bottle", description = "Genie bottle" }
sprite{ id = "enemies/boss/hinox_master", description = "Hinox master" }
sprite{ id = "enemies/boss/moblin_chief", description = "Moblin chief" }
sprite{ id = "enemies/boss/moldorm", description = "Moldorm tail" }
sprite{ id = "enemies/boss/moldorm/moldorm_body_1", description = "Moldorm body 1" }
sprite{ id = "enemies/boss/moldorm/moldorm_body_2", description = "Moldorm body 2" }
sprite{ id = "enemies/boss/moldorm/moldorm_body_3", description = "Moldorm body 3" }
sprite{ id = "enemies/boss/moldorm/moldorm_eyes", description = "Moldorm eyes" }
sprite{ id = "enemies/boss/moldorm/moldorm_head", description = "Moldorm 1 head" }
sprite{ id = "enemies/boss/rolling_bones", description = "Rolling bones" }
sprite{ id = "enemies/boss/rolling_bones/rolling_bones_spike", description = "Rolling bones spike" }
sprite{ id = "enemies/bubble", description = "Bubble" }
sprite{ id = "enemies/buzz_blob", description = "Buzz blob" }
sprite{ id = "enemies/chicken", description = "Chicken" }
sprite{ id = "enemies/chicken_mortal", description = "Chicken mortal" }
sprite{ id = "enemies/cukeman", description = "Cukeman" }
sprite{ id = "enemies/death_ball", description = "Death ball" }
sprite{ id = "enemies/dog", description = "Dog" }
sprite{ id = "enemies/enemy_killed", description = "Enemy killed" }
sprite{ id = "enemies/fireball", description = "Fireball" }
sprite{ id = "enemies/flying_tile", description = "Flying tile" }
sprite{ id = "enemies/ghini", description = "Ghini" }
sprite{ id = "enemies/giant_goponga_flower", description = "Giant Goponga Flower" }
sprite{ id = "enemies/goomba", description = "Goomba" }
sprite{ id = "enemies/goponga_flower", description = "Goponga flower" }
sprite{ id = "enemies/hardhat_beetle_blue", description = "Hardhat beetle blue" }
sprite{ id = "enemies/hardhat_beetle_red", description = "Hardhat beetle red" }
sprite{ id = "enemies/hooded_stalfos", description = "Hooded stalfos" }
sprite{ id = "enemies/keese", description = "Keese" }
sprite{ id = "enemies/leever", description = "Leever" }
sprite{ id = "enemies/like_like", description = "Like like" }
sprite{ id = "enemies/maskass", description = "Maskass" }
sprite{ id = "enemies/moblin", description = "Moblin" }
sprite{ id = "enemies/monkey", description = "Monkey" }
sprite{ id = "enemies/octorok", description = "Octorok" }
sprite{ id = "enemies/octorok_stone", description = "Octorok stone" }
sprite{ id = "enemies/pike_auto", description = "Pike auto" }
sprite{ id = "enemies/pike_detect", description = "Pike detect" }
sprite{ id = "enemies/pike_fixed", description = "Pike fixed" }
sprite{ id = "enemies/pols_voice", description = "Pols voice" }
sprite{ id = "enemies/sand_crab", description = "Crab" }
sprite{ id = "enemies/sea_urchin", description = "Sea urchin" }
sprite{ id = "enemies/slime_green", description = "Slime green" }
sprite{ id = "enemies/spike", description = "Spike" }
sprite{ id = "enemies/spiny_beetle", description = "Spiny beetle" }
sprite{ id = "enemies/stalfos_blue", description = "Stalfos blue" }
sprite{ id = "enemies/stalfos_grey", description = "Stalfos grey" }
sprite{ id = "enemies/stalfos_red", description = "Stalfos red" }
sprite{ id = "enemies/star", description = "Star" }
sprite{ id = "enemies/tektite_blue", description = "Tektite blue" }
sprite{ id = "enemies/vegas", description = "Vegas" }
sprite{ id = "enemies/wizzrobe_beam", description = "Wizzrobe beam" }
sprite{ id = "enemies/wizzrobe_blue", description = "Wizzrobe lue" }
sprite{ id = "enemies/wizzrobe_white", description = "Wizzrobe white" }
sprite{ id = "enemies/zol_green", description = "Zol green" }
sprite{ id = "entities/arrow", description = "Arrow" }
sprite{ id = "entities/ball", description = "Ball" }
sprite{ id = "entities/ball_shadow", description = "Ball shadow" }
sprite{ id = "entities/bananas", description = "Bananas" }
sprite{ id = "entities/beach_debris_1", description = "Beach debris 1" }
sprite{ id = "entities/beach_debris_2", description = "Beach debris 2" }
sprite{ id = "entities/beach_debris_3", description = "Beach debris 3" }
sprite{ id = "entities/beach_debris_4", description = "Beach debris 4" }
sprite{ id = "entities/bed", description = "Hero's bed" }
sprite{ id = "entities/big_chest", description = "Chest (big)" }
sprite{ id = "entities/block", description = "Block" }
sprite{ id = "entities/blocks/block_small_key", description = "Block small key" }
sprite{ id = "entities/blue_cristal", description = "Blue cristal" }
sprite{ id = "entities/bomb", description = "Bomb" }
sprite{ id = "entities/book_blue", description = "Book blue" }
sprite{ id = "entities/book_green", description = "Book green" }
sprite{ id = "entities/book_orange", description = "Book orange" }
sprite{ id = "entities/book_red", description = "Book red" }
sprite{ id = "entities/boomerang1", description = "Boomerang 1" }
sprite{ id = "entities/boomerang2", description = "Boomerang 2" }
sprite{ id = "entities/bow", description = "Bow" }
sprite{ id = "entities/bush", description = "Bush" }
sprite{ id = "entities/bush_grass", description = "Bush grass" }
sprite{ id = "entities/camera", description = "Camera" }
sprite{ id = "entities/cannonball", description = "Cannon ball" }
sprite{ id = "entities/cave_bones", description = "Cave bones" }
sprite{ id = "entities/cave_hole", description = "Cave hole" }
sprite{ id = "entities/cave_rock", description = "Cave rock" }
sprite{ id = "entities/chain", description = "Chain" }
sprite{ id = "entities/chest", description = "Chest (normal)" }
sprite{ id = "entities/claw_chain", description = "Claw chain" }
sprite{ id = "entities/claw_crane", description = "Claw crane" }
sprite{ id = "entities/claw_up", description = "Claw up" }
sprite{ id = "entities/conveyor_belt1", description = "Conveyor belt 1" }
sprite{ id = "entities/conveyor_belt2", description = "Conveyor belt 2" }
sprite{ id = "entities/conveyor_belt3", description = "Conveyor belt 3" }
sprite{ id = "entities/conveyor_belt4", description = "Conveyor belt 4" }
sprite{ id = "entities/crystal", description = "Crystal" }
sprite{ id = "entities/crystal_block", description = "Crystal block" }
sprite{ id = "entities/destination", description = "Destination of teletransporter" }
sprite{ id = "entities/dog_statue", description = "Dog statue" }
sprite{ id = "entities/doors/door_big_key", description = "Door big key" }
sprite{ id = "entities/doors/door_boss_key", description = "Door boss key" }
sprite{ id = "entities/doors/door_normal", description = "Door" }
sprite{ id = "entities/doors/door_normal_cave", description = "Door cave" }
sprite{ id = "entities/doors/door_small_key", description = "Door small key" }
sprite{ id = "entities/doors/door_very_weak_wall", description = "Door very weak wall" }
sprite{ id = "entities/doors/door_weak_block_cave", description = "Door weak block cave" }
sprite{ id = "entities/doors/door_weak_wall", description = "Door_weak_wall" }
sprite{ id = "entities/doors/door_weak_wall_cave", description = "Door weak wall cave" }
sprite{ id = "entities/doors/door_weak_wall_out", description = "Door weak wall out" }
sprite{ id = "entities/egg", description = "Egg" }
sprite{ id = "entities/entrance_dungeon_1", description = "Entrance dungeon 1" }
sprite{ id = "entities/entrance_dungeon_1_door", description = "Entrance dungeon 1 door" }
sprite{ id = "entities/entrance_dungeon_2", description = "Entrance dungeon 2" }
sprite{ id = "entities/entrance_dungeon_3", description = "entities/entrance_dungeon_3" }
sprite{ id = "entities/entrance_dungeon_4", description = "Entrance dungeon 4" }
sprite{ id = "entities/entrance_dungeon_5", description = "Entrance dungeon 5" }
sprite{ id = "entities/entrance_dungeon_6", description = "Entrance dungeon 6" }
sprite{ id = "entities/entrance_dungeon_7", description = "Entrance dungeon 7" }
sprite{ id = "entities/entrance_dungeon_7_door", description = "Entrance dungeon 7 door" }
sprite{ id = "entities/entrance_moblin_cave", description = "Entrance moblin cave" }
sprite{ id = "entities/entrance_southern_face_shrine", description = "Entrance southern face shrine" }
sprite{ id = "entities/explosion", description = "Explosion" }
sprite{ id = "entities/fire", description = "Fire" }
sprite{ id = "entities/fish_manbo", description = "Fish Manbo" }
sprite{ id = "entities/game_board", description = "game_board" }
sprite{ id = "entities/grass", description = "Grass" }
sprite{ id = "entities/graveyard_tree", description = "Graveyard tree" }
sprite{ id = "entities/graveyard_tree_footer_brown", description = "Graveyard tree footer brown" }
sprite{ id = "entities/graveyard_tree_footer_green", description = "Graveyard tree footer green" }
sprite{ id = "entities/green_cristal", description = "Green cristal" }
sprite{ id = "entities/ground_dug", description = "Ground dug" }
sprite{ id = "entities/hammer_stake_brown", description = "Hammer stake brown" }
sprite{ id = "entities/hammer_stake_green", description = "Hammer stake green" }
sprite{ id = "entities/hammer_stake_yellow", description = "Hammer stake yellow" }
sprite{ id = "entities/heart", description = "Heart" }
sprite{ id = "entities/heart_fly", description = "Heart fly" }
sprite{ id = "entities/heart_fly_shadow", description = "Heart fly shadow" }
sprite{ id = "entities/hint_stone", description = "Hint stone" }
sprite{ id = "entities/hook", description = "Hook" }
sprite{ id = "entities/hookshot", description = "Hookshot" }
sprite{ id = "entities/house_dungeon_7", description = "House dungeon 7" }
sprite{ id = "entities/instrument_big_sparkle", description = "Instrument big sparkle" }
sprite{ id = "entities/instrument_small_sparkle", description = "Instrument small sparkle" }
sprite{ id = "entities/iron_ball", description = "Iron ball" }
sprite{ id = "entities/items", description = "Items" }
sprite{ id = "entities/keyhole_dungeon_7", description = "Keyhole dungeon 7" }
sprite{ id = "entities/la_beach/la_background", description = "entities/la_beach/la_background" }
sprite{ id = "entities/la_beach/la_swell", description = "entities/la_beach/la_swell" }
sprite{ id = "entities/la_beach/la_wreck", description = "entities/la_beach/la_wreck" }
sprite{ id = "entities/lightning_strike", description = "Lightning strike" }
sprite{ id = "entities/lightning_strike_core", description = "Lightning strike core" }
sprite{ id = "entities/mad_batter_set", description = "Mad batter set" }
sprite{ id = "entities/moblin_carpet", description = "Moblin carpet" }
sprite{ id = "entities/moblin_throne", description = "Moblin throne" }
sprite{ id = "entities/movies/background_introduction", description = "Background introduction" }
sprite{ id = "entities/movies/swell", description = "Swell" }
sprite{ id = "entities/movies/wreck", description = "Wreck" }
sprite{ id = "entities/non_diggable", description = "Diggable" }
sprite{ id = "entities/notes", description = "Notes" }
sprite{ id = "entities/outside_door", description = "Outside closed door" }
sprite{ id = "entities/outside_ladder", description = "Outside ladder" }
sprite{ id = "entities/owl", description = "Owl" }
sprite{ id = "entities/owl_blue", description = "Owl blue" }
sprite{ id = "entities/owl_out", description = "Owl out" }
sprite{ id = "entities/painting", description = "Painting" }
sprite{ id = "entities/palm", description = "Palm" }
sprite{ id = "entities/palm_banana", description = "Palm banana" }
sprite{ id = "entities/palm_footer_brown", description = "Palm footer brown" }
sprite{ id = "entities/palm_footer_green", description = "Palm footer green" }
sprite{ id = "entities/palm_footer_yellow", description = "Palm footer yellow" }
sprite{ id = "entities/phone_statue", description = "Phone statue" }
sprite{ id = "entities/pillar", description = "Pillar" }
sprite{ id = "entities/pillar_base", description = "Pillar base" }
sprite{ id = "entities/pot", description = "Pot" }
sprite{ id = "entities/rain", description = "Rain" }
sprite{ id = "entities/rock_block", description = "Rock block" }
sprite{ id = "entities/rooster_dead", description = "Rooster dead" }
sprite{ id = "entities/rupee_icon", description = "Rupee icon" }
sprite{ id = "entities/shadow", description = "Shadow" }
sprite{ id = "entities/shield", description = "Shield" }
sprite{ id = "entities/shop_board", description = "Shop board" }
sprite{ id = "entities/shop_office", description = "Shop office" }
sprite{ id = "entities/shovel", description = "Shovel" }
sprite{ id = "entities/sign", description = "Sign" }
sprite{ id = "entities/signs", description = "Signs" }
sprite{ id = "entities/skull_brown", description = "Skull brown" }
sprite{ id = "entities/skull_green", description = "Skull green" }
sprite{ id = "entities/skull_white", description = "Skull white" }
sprite{ id = "entities/snores", description = "Snoring" }
sprite{ id = "entities/solid_switch", description = "Solid switch" }
sprite{ id = "entities/somaria_block", description = "Somaria block" }
sprite{ id = "entities/star", description = "Star" }
sprite{ id = "entities/statue", description = "Statue" }
sprite{ id = "entities/statue_big_dungeon_3", description = "Statue dungeon 3" }
sprite{ id = "entities/statue_dungeon_1_block", description = "Statue dungeon 1 block" }
sprite{ id = "entities/statue_dungeon_1_key", description = "Statue dungeon 1 key" }
sprite{ id = "entities/statue_dungeon_2", description = "Statue dungeon 2" }
sprite{ id = "entities/statue_dungeon_2_head", description = "Statue dungeon 2 head" }
sprite{ id = "entities/statue_dungeon_3", description = "Statue dungeon 3" }
sprite{ id = "entities/statue_dungeon_3_key", description = "Statue dungeon 3 key" }
sprite{ id = "entities/statue_dungeon_6", description = "Statue dungeon 6" }
sprite{ id = "entities/statue_dungeon_6_head", description = "Statue dungeon 6 head" }
sprite{ id = "entities/statue_dungeon_7", description = "Statue dungeon 7" }
sprite{ id = "entities/statue_liftable_dungeon_6", description = "Statue liftable dungeon 6" }
sprite{ id = "entities/statue_pig", description = "Statue pig" }
sprite{ id = "entities/statue_pig_destroyed", description = "Statue pig destroyed" }
sprite{ id = "entities/statue_small", description = "Statue small" }
sprite{ id = "entities/statue_small_dungeon_3", description = "Statue small dungeon 3" }
sprite{ id = "entities/statue_small_key_dungeon_3", description = "Statue small key dungeon 3" }
sprite{ id = "entities/stone_large_white", description = "Large white stone" }
sprite{ id = "entities/stone_small_black", description = "Small black stone" }
sprite{ id = "entities/stone_small_brown", description = "Stone small brown" }
sprite{ id = "entities/stone_small_white", description = "Small white stone" }
sprite{ id = "entities/switch", description = "Switch" }
sprite{ id = "entities/teletransporter", description = "Teletransporter" }
sprite{ id = "entities/teletransporter_dungeon", description = "Teletransporter dungeon" }
sprite{ id = "entities/torch", description = "Torch" }
sprite{ id = "entities/vacuum_cleaner", description = "Vacuum cleaner" }
sprite{ id = "entities/vacuum_cleaner_ground", description = "Vacuum cleaner ground" }
sprite{ id = "entities/wallturn_dungeon_1_front", description = "Wallturn" }
sprite{ id = "entities/water_tree", description = "Water tree" }
sprite{ id = "entities/water_tree_junction", description = "Water tree junction" }
sprite{ id = "ground_effects/fall_on_hole", description = "ground_effects/fall_on_hole" }
sprite{ id = "ground_effects/lava_splash", description = "ground_effects/lava_splash" }
sprite{ id = "ground_effects/leaves", description = "ground_effects/leaves" }
sprite{ id = "ground_effects/water_splash", description = "ground_effects/water_splash" }
sprite{ id = "hero/diving", description = "Diving" }
sprite{ id = "hero/fire_rod", description = "Fire rod" }
sprite{ id = "hero/ground1", description = "Grass under hero" }
sprite{ id = "hero/ground2", description = "Shallow water under hero" }
sprite{ id = "hero/shield2", description = "Hero shield 2" }
sprite{ id = "hero/shield3", description = "Hero shield 3" }
sprite{ id = "hero/shield_1_above", description = "Hero shield 1" }
sprite{ id = "hero/shield_collision_mask", description = "Shield Collision Mask" }
sprite{ id = "hero/sword1", description = "Hero sword 1" }
sprite{ id = "hero/sword2", description = "Hero sword 2" }
sprite{ id = "hero/sword3", description = "Hero sword 3" }
sprite{ id = "hero/sword4", description = "Hero sword 4" }
sprite{ id = "hero/sword_stars1", description = "Hero sword stars 1" }
sprite{ id = "hero/sword_stars2", description = "Hero sword stars 2" }
sprite{ id = "hero/sword_stars3", description = "Hero sword stars 3" }
sprite{ id = "hero/sword_stars4", description = "Hero sword stars 4" }
sprite{ id = "hero/trail", description = "Hero trail" }
sprite{ id = "hero/tunic1", description = "Hero tunic 1" }
sprite{ id = "hero/tunic2", description = "Hero tunic 2" }
sprite{ id = "hero/tunic3", description = "Hero tunic 3" }
sprite{ id = "hud/action_icon_flip", description = "Action icon" }
sprite{ id = "hud/dialog_box_message_end", description = "Dialog end" }
sprite{ id = "hud/empty_heart", description = "Empty heart" }
sprite{ id = "hud/gameover_fade", description = "Game-over fade" }
sprite{ id = "hud/heart", description = "Heart" }
sprite{ id = "hud/magic_bar", description = "Magic bar" }
sprite{ id = "hud/pause_icon_flip", description = "Pause icon" }
sprite{ id = "hud/sword_icon_flip", description = "Sword icon" }
sprite{ id = "menus/arrow", description = "Arrow" }
sprite{ id = "menus/dialog_cursor", description = "Dialog cursor" }
sprite{ id = "menus/dungeon_maps/map_1", description = "Map 1" }
sprite{ id = "menus/dungeon_maps/map_1_compass", description = "Map 1 compass" }
sprite{ id = "menus/dungeon_maps/map_1_no_map", description = "Map 1 no map" }
sprite{ id = "menus/dungeon_maps/map_1_no_map_compass", description = "Map 1 no map compass" }
sprite{ id = "menus/dungeon_maps/map_2", description = "Map 2 " }
sprite{ id = "menus/dungeon_maps/map_2_compass", description = "Map 2 compass" }
sprite{ id = "menus/dungeon_maps/map_2_no_map", description = "Map 2 no map" }
sprite{ id = "menus/dungeon_maps/map_2_no_map_compass", description = "Map 2 no map compass" }
sprite{ id = "menus/dungeon_maps/map_3", description = "Map 3" }
sprite{ id = "menus/dungeon_maps/map_3_compass", description = "Map 3 compass" }
sprite{ id = "menus/dungeon_maps/map_3_no_map", description = "Map 3 no map" }
sprite{ id = "menus/dungeon_maps/map_3_no_map_compass", description = "Map 3 no map compass" }
sprite{ id = "menus/dungeon_maps/map_4", description = "Map 4" }
sprite{ id = "menus/dungeon_maps/map_4_compass", description = "Map 4 compass" }
sprite{ id = "menus/dungeon_maps/map_4_no_map", description = "Map 4 no map" }
sprite{ id = "menus/dungeon_maps/map_4_no_map_compass", description = "Map 4 no map compass" }
sprite{ id = "menus/hero_head", description = "Hero head" }
sprite{ id = "menus/hero_point", description = "Hero point" }
sprite{ id = "menus/pause_cursor", description = "Pause cursor" }
sprite{ id = "menus/pause_menu_options_command_cursor", description = "Waiting for command input cursor" }
sprite{ id = "menus/pause_menu_options_cursor", description = "Options menu cursor" }
sprite{ id = "menus/selection_menu_cursor", description = "Savegame cursor" }
sprite{ id = "menus/solarus_logo", description = "Solarus logo" }
sprite{ id = "menus/team_logo", description = "Solarus Team logo" }
sprite{ id = "npc/alligator", description = "Alligator" }
sprite{ id = "npc/alttp/angry_brother", description = "Angry brother" }
sprite{ id = "npc/alttp/average_middle_aged_man", description = "Average middle-aged man" }
sprite{ id = "npc/alttp/bird_green", description = "Green bird" }
sprite{ id = "npc/alttp/blacksmith", description = "Blacksmith" }
sprite{ id = "npc/alttp/blind_hideout_man", description = "Man in Blind hideout" }
